lemma,lemmaCount,keywordSyn
venezuela,298,none
población,208,none
venezolano,183,none
tierra,169,none
nacional,164,none
comunidad,150,none
actividad,146,none
trabajo,137,none
territorio,128,none
representa,125,none
familia,119,none
escuela,113,none
recursos,104,none
personas,102,none
nombre,100,none
desarrollo,93,none
naturales,93,none
bolívar,90,none
funciones,89,none
economía,87,none
forman,83,none
productos,83,none
región,83,none
caracas,82,none
pueblo,82,none
ciudades,81,none
hombres,81,none
utilizan,80,none
importante,78,none
comunicación,77,none
grandes,77,none
social,76,none
cuáles,75,none
derechos,74,none
federal,74,none
primera,74,none
educación,70,none
petróleo,70,none
servicios,70,none
tiempo,66,none
distrito,65,none
independencia,65,none
español,64,none
observar,64,none
república,63,none
general,62,none
cultural,60,none
llegar,60,none
públicos,60,none
constitución,59,none
elementos,59,none
españa,59,none
vivienda,59,none
existen,58,none
explicar,58,none
presente,58,none
principales,58,none
gobernador,57,none
organización,55,none
relación,55,none
bandera,54,none
partir,54,none
realizar,54,none
américa,53,none
blanco,53,none
patria,53,none
provincia,51,none
americano,50,none
animales,50,none
dibujo,50,none
montañas,50,none
movimiento,50,none
política,50,none
alimentos,49,none
ciudad,49,none
diferentes,49,none
espacio,48,none
estudiar,48,none
podemos,48,none
cambio,47,none
gobierno,47,none
habitantes,46,none
conocer,44,none
debemos,44,none
libertador,44,none
pueden,44,none
instrumentos,43,none
lectura,43,none
países,43,none
varios,43,none
causas,42,none
colonia,42,none
guayana,42,none
paisaje,42,none
problemas,42,none
cumplir,41,none
elaborar,41,none
objetos,41,none
folklore,40,none
oriente,40,none
